prep_path	class_name	class_index
/absolute_path/to/preprocessed/0554ffe5-31f7-43f5-8372-2b73c9cf3527.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/15895218-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
/absolute_path/to/preprocessed/54319e3d-c28f-4ba1-9c87-299d303e4de3.muat.tsv	Prost-AdenoCA	14
/absolute_path/to/preprocessed/140d5fa9-afbe-444e-a7e7-6a4cb4ab2923.muat.tsv	Lymph-BNHL	8
/absolute_path/to/preprocessed/880e6970-0131-4966-b13e-8614d33f0df7.muat.tsv	CNS-Medullo	2
/absolute_path/to/preprocessed/6e776415-ddf4-4060-953f-08ef22441234.muat.tsv	Panc-Endocrine	13
/absolute_path/to/preprocessed/ee8ba991-8c96-476e-b096-49f3aaaffc2f.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/4cbe411b-b05e-46bd-bea8-126289a0866c.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/654dba9f-cfe5-4121-97c7-868613cdef53.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/221d0290-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
/absolute_path/to/preprocessed/9df57388-7de1-4c90-910e-ef63a246dff1.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/8b0c4c91-2d07-4a9b-97a1-d2bda003437e.muat.tsv	Liver-HCC	7
/absolute_path/to/preprocessed/fc447d51-cdc2-a180-e040-11ac0c4846a4.muat.tsv	Breast-AdenoCA	1
/absolute_path/to/preprocessed/f047cb85-8f88-45d5-83c3-0416c9f3fff7.muat.tsv	Lymph-BNHL	8
/absolute_path/to/preprocessed/7cb71498-6ada-43c6-912b-bad4f93cf580.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/f8fb791c-08b4-b6e1-e040-11ac0d4868f3.muat.tsv	Myeloid-MPN	10
/absolute_path/to/preprocessed/0624eb1d-3aff-4037-a3c5-fc363a9edd02.muat.tsv	CNS-Medullo	2
/absolute_path/to/preprocessed/82b8cda8-fbff-455e-b0db-7ff6528bd6c8.muat.tsv	Lymph-BNHL	8
/absolute_path/to/preprocessed/906f6f1e-569d-4ce2-9273-1f305782f77f.muat.tsv	CNS-Medullo	2
/absolute_path/to/preprocessed/7ccee959-1e87-4a39-b6b3-840ddcb94995.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/ebc1a26b-9582-4756-acd5-b02d1152319d.muat.tsv	Lymph-CLL	9
/absolute_path/to/preprocessed/96ba50eb-3c12-41ad-ac7b-d23b2001fe44.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/1d325d84-a3a0-4802-9842-76cb21cecb1c.muat.tsv	Kidney-RCC	6
/absolute_path/to/preprocessed/4d121008-0987-4142-a2b8-7dac58f3110a.muat.tsv	CNS-Medullo	2
/absolute_path/to/preprocessed/fc8130df-90ba-5d94-e040-11ac0d485e0c.muat.tsv	Breast-AdenoCA	1
/absolute_path/to/preprocessed/681e2301-2057-40e4-ab63-934775d63faa.muat.tsv	Skin-Melanoma	15
/absolute_path/to/preprocessed/f7702c0c-9636-4700-a8ae-7a58afd9fa71.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/71ef8379-03a0-4b81-92c9-1ba666fe4d7a.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/68956108-2606-4696-b038-462b6c432398.muat.tsv	CNS-Medullo	2
/absolute_path/to/preprocessed/5255d645-d3d2-422e-8449-046cd21f4935.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/d884d070-6077-4155-9978-76aca7ba1e76.muat.tsv	CNS-PiloAstro	3
/absolute_path/to/preprocessed/fc813235-5ed8-7695-e040-11ac0d485e3e.muat.tsv	Breast-AdenoCA	1
/absolute_path/to/preprocessed/a5346247-3f30-470a-b4ab-732180786291.muat.tsv	Panc-AdenoCA	12
/absolute_path/to/preprocessed/96abdbc8-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
/absolute_path/to/preprocessed/7866dfb2-46b3-42b4-905b-12f80593d6bd.muat.tsv	Eso-AdenoCA	4
/absolute_path/to/preprocessed/fb74cca4-ac9c-4be0-80e3-e71592f96aae.muat.tsv	Lymph-CLL	9
