chrompos	postoken
1_0	1
1_1	2
1_2	3
1_3	4
1_4	5
1_5	6
1_6	7
1_7	8
1_8	9
1_9	10
1_10	11
1_11	12
1_12	13
1_13	14
1_14	15
1_15	16
1_16	17
1_17	18
1_18	19
1_19	20
1_20	21
1_21	22
1_22	23
1_23	24
1_24	25
1_25	26
1_26	27
1_27	28
1_28	29
1_29	30
1_30	31
1_31	32
1_32	33
1_33	34
1_34	35
1_35	36
1_36	37
1_37	38
1_38	39
1_39	40
1_40	41
1_41	42
1_42	43
1_43	44
1_44	45
1_45	46
1_46	47
1_47	48
1_48	49
1_49	50
1_50	51
1_51	52
1_52	53
1_53	54
1_54	55
1_55	56
1_56	57
1_57	58
1_58	59
1_59	60
1_60	61
1_61	62
1_62	63
1_63	64
1_64	65
1_65	66
1_66	67
1_67	68
1_68	69
1_69	70
1_70	71
1_71	72
1_72	73
1_73	74
1_74	75
1_75	76
1_76	77
1_77	78
1_78	79
1_79	80
1_80	81
1_81	82
1_82	83
1_83	84
1_84	85
1_85	86
1_86	87
1_87	88
1_88	89
1_89	90
1_90	91
1_91	92
1_92	93
1_93	94
1_94	95
1_95	96
1_96	97
1_97	98
1_98	99
1_99	100
1_100	101
1_101	102
1_102	103
1_103	104
1_104	105
1_105	106
1_106	107
1_107	108
1_108	109
1_109	110
1_110	111
1_111	112
1_112	113
1_113	114
1_114	115
1_115	116
1_116	117
1_117	118
1_118	119
1_119	120
1_120	121
1_121	122
1_142	123
1_143	124
1_144	125
1_145	126
1_146	127
1_147	128
1_148	129
1_149	130
1_150	131
1_151	132
1_152	133
1_153	134
1_154	135
1_155	136
1_156	137
1_157	138
1_158	139
1_159	140
1_160	141
1_161	142
1_162	143
1_163	144
1_164	145
1_165	146
1_166	147
1_167	148
1_168	149
1_169	150
1_170	151
1_171	152
1_172	153
1_173	154
1_174	155
1_175	156
1_176	157
1_177	158
1_178	159
1_179	160
1_180	161
1_181	162
1_182	163
1_183	164
1_184	165
1_185	166
1_186	167
1_187	168
1_188	169
1_189	170
1_190	171
1_191	172
1_192	173
1_193	174
1_194	175
1_195	176
1_196	177
1_197	178
1_198	179
1_199	180
1_200	181
1_201	182
1_202	183
1_203	184
1_204	185
1_205	186
1_206	187
1_207	188
1_208	189
1_209	190
1_210	191
1_211	192
1_212	193
1_213	194
1_214	195
1_215	196
1_216	197
1_217	198
1_218	199
1_219	200
1_220	201
1_221	202
1_222	203
1_223	204
1_224	205
1_225	206
1_226	207
1_227	208
1_228	209
1_229	210
1_230	211
1_231	212
1_232	213
1_233	214
1_234	215
1_235	216
1_236	217
1_237	218
1_238	219
1_239	220
1_240	221
1_241	222
1_242	223
1_243	224
1_244	225
1_245	226
1_246	227
1_247	228
1_248	229
1_249	230
2_0	231
2_1	232
2_2	233
2_3	234
2_4	235
2_5	236
2_6	237
2_7	238
2_8	239
2_9	240
2_10	241
2_11	242
2_12	243
2_13	244
2_14	245
2_15	246
2_16	247
2_17	248
2_18	249
2_19	250
2_20	251
2_21	252
2_22	253
2_23	254
2_24	255
2_25	256
2_26	257
2_27	258
2_28	259
2_29	260
2_30	261
2_31	262
2_32	263
2_33	264
2_34	265
2_35	266
2_36	267
2_37	268
2_38	269
2_39	270
2_40	271
2_41	272
2_42	273
2_43	274
2_44	275
2_45	276
2_46	277
2_47	278
2_48	279
2_49	280
2_50	281
2_51	282
2_52	283
2_53	284
2_54	285
2_55	286
2_56	287
2_57	288
2_58	289
2_59	290
2_60	291
2_61	292
2_62	293
2_63	294
2_64	295
2_65	296
2_66	297
2_67	298
2_68	299
2_69	300
2_70	301
2_71	302
2_72	303
2_73	304
2_74	305
2_75	306
2_76	307
2_77	308
2_78	309
2_79	310
2_80	311
2_81	312
2_82	313
2_83	314
2_84	315
2_85	316
2_86	317
2_87	318
2_88	319
2_89	320
2_90	321
2_91	322
2_92	323
2_95	324
2_96	325
2_97	326
2_98	327
2_99	328
2_100	329
2_101	330
2_102	331
2_103	332
2_104	333
2_105	334
2_106	335
2_107	336
2_108	337
2_109	338
2_110	339
2_111	340
2_112	341
2_113	342
2_114	343
2_115	344
2_116	345
2_117	346
2_118	347
2_119	348
2_120	349
2_121	350
2_122	351
2_123	352
2_124	353
2_125	354
2_126	355
2_127	356
2_128	357
2_129	358
2_130	359
2_131	360
2_132	361
2_133	362
2_134	363
2_135	364
2_136	365
2_137	366
2_138	367
2_139	368
2_140	369
2_141	370
2_142	371
2_143	372
2_144	373
2_145	374
2_146	375
2_147	376
2_148	377
2_149	378
2_150	379
2_151	380
2_152	381
2_153	382
2_154	383
2_155	384
2_156	385
2_157	386
2_158	387
2_159	388
2_160	389
2_161	390
2_162	391
2_163	392
2_164	393
2_165	394
2_166	395
2_167	396
2_168	397
2_169	398
2_170	399
2_171	400
2_172	401
2_173	402
2_174	403
2_175	404
2_176	405
2_177	406
2_178	407
2_179	408
2_180	409
2_181	410
2_182	411
2_183	412
2_184	413
2_185	414
2_186	415
2_187	416
2_188	417
2_189	418
2_190	419
2_191	420
2_192	421
2_193	422
2_194	423
2_195	424
2_196	425
2_197	426
2_198	427
2_199	428
2_200	429
2_201	430
2_202	431
2_203	432
2_204	433
2_205	434
2_206	435
2_207	436
2_208	437
2_209	438
2_210	439
2_211	440
2_212	441
2_213	442
2_214	443
2_215	444
2_216	445
2_217	446
2_218	447
2_219	448
2_220	449
2_221	450
2_222	451
2_223	452
2_224	453
2_225	454
2_226	455
2_227	456
2_228	457
2_229	458
2_230	459
2_231	460
2_232	461
2_233	462
2_234	463
2_235	464
2_236	465
2_237	466
2_238	467
2_239	468
2_240	469
2_241	470
2_242	471
2_243	472
3_0	473
3_1	474
3_2	475
3_3	476
3_4	477
3_5	478
3_6	479
3_7	480
3_8	481
3_9	482
3_10	483
3_11	484
3_12	485
3_13	486
3_14	487
3_15	488
3_16	489
3_17	490
3_18	491
3_19	492
3_20	493
3_21	494
3_22	495
3_23	496
3_24	497
3_25	498
3_26	499
3_27	500
3_28	501
3_29	502
3_30	503
3_31	504
3_32	505
3_33	506
3_34	507
3_35	508
3_36	509
3_37	510
3_38	511
3_39	512
3_40	513
3_41	514
3_42	515
3_43	516
3_44	517
3_45	518
3_46	519
3_47	520
3_48	521
3_49	522
3_50	523
3_51	524
3_52	525
3_53	526
3_54	527
3_55	528
3_56	529
3_57	530
3_58	531
3_59	532
3_60	533
3_61	534
3_62	535
3_63	536
3_64	537
3_65	538
3_66	539
3_67	540
3_68	541
3_69	542
3_70	543
3_71	544
3_72	545
3_73	546
3_74	547
3_75	548
3_76	549
3_77	550
3_78	551
3_79	552
3_80	553
3_81	554
3_82	555
3_83	556
3_84	557
3_85	558
3_86	559
3_87	560
3_88	561
3_89	562
3_90	563
3_93	564
3_94	565
3_95	566
3_96	567
3_97	568
3_98	569
3_99	570
3_100	571
3_101	572
3_102	573
3_103	574
3_104	575
3_105	576
3_106	577
3_107	578
3_108	579
3_109	580
3_110	581
3_111	582
3_112	583
3_113	584
3_114	585
3_115	586
3_116	587
3_117	588
3_118	589
3_119	590
3_120	591
3_121	592
3_122	593
3_123	594
3_124	595
3_125	596
3_126	597
3_127	598
3_128	599
3_129	600
3_130	601
3_131	602
3_132	603
3_133	604
3_134	605
3_135	606
3_136	607
3_137	608
3_138	609
3_139	610
3_140	611
3_141	612
3_142	613
3_143	614
3_144	615
3_145	616
3_146	617
3_147	618
3_148	619
3_149	620
3_150	621
3_151	622
3_152	623
3_153	624
3_154	625
3_155	626
3_156	627
3_157	628
3_158	629
3_159	630
3_160	631
3_161	632
3_162	633
3_163	634
3_164	635
3_165	636
3_166	637
3_167	638
3_168	639
3_169	640
3_170	641
3_171	642
3_172	643
3_173	644
3_174	645
3_175	646
3_176	647
3_177	648
3_178	649
3_179	650
3_180	651
3_181	652
3_182	653
3_183	654
3_184	655
3_185	656
3_186	657
3_187	658
3_188	659
3_189	660
3_190	661
3_191	662
3_192	663
3_193	664
3_194	665
3_195	666
3_196	667
3_197	668
4_0	669
4_1	670
4_2	671
4_3	672
4_4	673
4_5	674
4_6	675
4_7	676
4_8	677
4_9	678
4_10	679
4_11	680
4_12	681
4_13	682
4_14	683
4_15	684
4_16	685
4_17	686
4_18	687
4_19	688
4_20	689
4_21	690
4_22	691
4_23	692
4_24	693
4_25	694
4_26	695
4_27	696
4_28	697
4_29	698
4_30	699
4_31	700
4_32	701
4_33	702
4_34	703
4_35	704
4_36	705
4_37	706
4_38	707
4_39	708
4_40	709
4_41	710
4_42	711
4_43	712
4_44	713
4_45	714
4_46	715
4_47	716
4_48	717
4_49	718
4_52	719
4_53	720
4_54	721
4_55	722
4_56	723
4_57	724
4_58	725
4_59	726
4_60	727
4_61	728
4_62	729
4_63	730
4_64	731
4_65	732
4_66	733
4_67	734
4_68	735
4_69	736
4_70	737
4_71	738
4_72	739
4_73	740
4_74	741
4_75	742
4_76	743
4_77	744
4_78	745
4_79	746
4_80	747
4_81	748
4_82	749
4_83	750
4_84	751
4_85	752
4_86	753
4_87	754
4_88	755
4_89	756
4_90	757
4_91	758
4_92	759
4_93	760
4_94	761
4_95	762
4_96	763
4_97	764
4_98	765
4_99	766
4_100	767
4_101	768
4_102	769
4_103	770
4_104	771
4_105	772
4_106	773
4_107	774
4_108	775
4_109	776
4_110	777
4_111	778
4_112	779
4_113	780
4_114	781
4_115	782
4_116	783
4_117	784
4_118	785
4_119	786
4_120	787
4_121	788
4_122	789
4_123	790
4_124	791
4_125	792
4_126	793
4_127	794
4_128	795
4_129	796
4_130	797
4_131	798
4_132	799
4_133	800
4_134	801
4_135	802
4_136	803
4_137	804
4_138	805
4_139	806
4_140	807
4_141	808
4_142	809
4_143	810
4_144	811
4_145	812
4_146	813
4_147	814
4_148	815
4_149	816
4_150	817
4_151	818
4_152	819
4_153	820
4_154	821
4_155	822
4_156	823
4_157	824
4_158	825
4_159	826
4_160	827
4_161	828
4_162	829
4_163	830
4_164	831
4_165	832
4_166	833
4_167	834
4_168	835
4_169	836
4_170	837
4_171	838
4_172	839
4_173	840
4_174	841
4_175	842
4_176	843
4_177	844
4_178	845
4_179	846
4_180	847
4_181	848
4_182	849
4_183	850
4_184	851
4_185	852
4_186	853
4_187	854
4_188	855
4_189	856
4_190	857
4_191	858
5_0	859
5_1	860
5_2	861
5_3	862
5_4	863
5_5	864
5_6	865
5_7	866
5_8	867
5_9	868
5_10	869
5_11	870
5_12	871
5_13	872
5_14	873
5_15	874
5_16	875
5_17	876
5_18	877
5_19	878
5_20	879
5_21	880
5_22	881
5_23	882
5_24	883
5_25	884
5_26	885
5_27	886
5_28	887
5_29	888
5_30	889
5_31	890
5_32	891
5_33	892
5_34	893
5_35	894
5_36	895
5_37	896
5_38	897
5_39	898
5_40	899
5_41	900
5_42	901
5_43	902
5_44	903
5_45	904
5_46	905
5_49	906
5_50	907
5_51	908
5_52	909
5_53	910
5_54	911
5_55	912
5_56	913
5_57	914
5_58	915
5_59	916
5_60	917
5_61	918
5_62	919
5_63	920
5_64	921
5_65	922
5_66	923
5_67	924
5_68	925
5_69	926
5_70	927
5_71	928
5_72	929
5_73	930
5_74	931
5_75	932
5_76	933
5_77	934
5_78	935
5_79	936
5_80	937
5_81	938
5_82	939
5_83	940
5_84	941
5_85	942
5_86	943
5_87	944
5_88	945
5_89	946
5_90	947
5_91	948
5_92	949
5_93	950
5_94	951
5_95	952
5_96	953
5_97	954
5_98	955
5_99	956
5_100	957
5_101	958
5_102	959
5_103	960
5_104	961
5_105	962
5_106	963
5_107	964
5_108	965
5_109	966
5_110	967
5_111	968
5_112	969
5_113	970
5_114	971
5_115	972
5_116	973
5_117	974
5_118	975
5_119	976
5_120	977
5_121	978
5_122	979
5_123	980
5_124	981
5_125	982
5_126	983
5_127	984
5_128	985
5_129	986
5_130	987
5_131	988
5_132	989
5_133	990
5_134	991
5_135	992
5_136	993
5_137	994
5_138	995
5_139	996
5_140	997
5_141	998
5_142	999
5_143	1000
5_144	1001
5_145	1002
5_146	1003
5_147	1004
5_148	1005
5_149	1006
5_150	1007
5_151	1008
5_152	1009
5_153	1010
5_154	1011
5_155	1012
5_156	1013
5_157	1014
5_158	1015
5_159	1016
5_160	1017
5_161	1018
5_162	1019
5_163	1020
5_164	1021
5_165	1022
5_166	1023
5_167	1024
5_168	1025
5_169	1026
5_170	1027
5_171	1028
5_172	1029
5_173	1030
5_174	1031
5_175	1032
5_176	1033
5_177	1034
5_178	1035
5_179	1036
5_180	1037
6_0	1038
6_1	1039
6_2	1040
6_3	1041
6_4	1042
6_5	1043
6_6	1044
6_7	1045
6_8	1046
6_9	1047
6_10	1048
6_11	1049
6_12	1050
6_13	1051
6_14	1052
6_15	1053
6_16	1054
6_17	1055
6_18	1056
6_19	1057
6_20	1058
6_21	1059
6_22	1060
6_23	1061
6_24	1062
6_25	1063
6_26	1064
6_27	1065
6_28	1066
6_29	1067
6_30	1068
6_31	1069
6_32	1070
6_33	1071
6_34	1072
6_35	1073
6_36	1074
6_37	1075
6_38	1076
6_39	1077
6_40	1078
6_41	1079
6_42	1080
6_43	1081
6_44	1082
6_45	1083
6_46	1084
6_47	1085
6_48	1086
6_49	1087
6_50	1088
6_51	1089
6_52	1090
6_53	1091
6_54	1092
6_55	1093
6_56	1094
6_57	1095
6_58	1096
6_61	1097
6_62	1098
6_63	1099
6_64	1100
6_65	1101
6_66	1102
6_67	1103
6_68	1104
6_69	1105
