prep_path	class_name	class_index
f82d213f-9843-28eb-e040-11ac0d483e48.muat.tsv	Bone-Osteosarc	0
f82d213f-9ba5-7b6b-e040-11ac0c486882.muat.tsv	Bone-Osteosarc	0
f82d213f-bc06-5b51-e040-11ac0c48687e.muat.tsv	Bone-Osteosarc	0
f82d213f-bc99-5b1d-e040-11ac0c486880.muat.tsv	Bone-Osteosarc	0
f82d213f-caa7-fd59-e040-11ac0d483e46.muat.tsv	Bone-Osteosarc	0
f82d2146-70f5-8114-e040-11ac0d483e50.muat.tsv	Bone-Osteosarc	0
f82d2146-726a-d0e0-e040-11ac0c486888.muat.tsv	Bone-Osteosarc	0
f83f1eb8-b2c8-c3d6-e040-11ac0c48261e.muat.tsv	Bone-Osteosarc	0
f83fc777-5416-c3e9-e040-11ac0d482c8e.muat.tsv	Bone-Osteosarc	0
f841c488-6b8d-6645-e040-11ac0c481418.muat.tsv	Bone-Osteosarc	0
f8425828-5b0f-23a8-e040-11ac0d484128.muat.tsv	Bone-Osteosarc	0
f843ed5c-0336-3d33-e040-11ac0d48478c.muat.tsv	Bone-Osteosarc	0
f845ebba-8c56-b559-e040-11ac0c4863d5.muat.tsv	Bone-Osteosarc	0
f8467ec8-2d61-ba21-e040-11ac0c483584.muat.tsv	Bone-Osteosarc	0
f8515e5a-7de3-6be3-e040-11ac0c480d6d.muat.tsv	Bone-Osteosarc	0
f85397dc-e6e9-4f54-e040-11ac0d48706c.muat.tsv	Bone-Osteosarc	0
f854ae3f-356d-f0ad-e040-11ac0c485dae.muat.tsv	Bone-Osteosarc	0
f856fa85-fdb8-c0b0-e040-11ac0d480b4e.muat.tsv	Bone-Osteosarc	0
f8593ac0-9480-22a0-e040-11ac0d48697a.muat.tsv	Bone-Osteosarc	0
f85add3d-e2e6-31f8-e040-11ac0d48479c.muat.tsv	Bone-Osteosarc	0
f85ae2b7-cebf-17a2-e040-11ac0c48033a.muat.tsv	Bone-Osteosarc	0
f860bc4c-f31b-6538-e040-11ac0c48268f.muat.tsv	Bone-Osteosarc	0
f866123a-9eb0-e856-e040-11ac0c48717e.muat.tsv	Bone-Osteosarc	0
f8696c79-b165-92a6-e040-11ac0c4804bf.muat.tsv	Bone-Osteosarc	0
f86975a2-78a4-ef8c-e040-11ac0c4809da.muat.tsv	Bone-Osteosarc	0
f86ae246-2492-9785-e040-11ac0d4813b0.muat.tsv	Bone-Osteosarc	0
f86b6ba2-8f4b-ee53-e040-11ac0d485904.muat.tsv	Bone-Osteosarc	0
f86e2d80-911b-7a19-e040-11ac0d486900.muat.tsv	Bone-Osteosarc	0
f87348df-7186-4c6b-e040-11ac0c482ba9.muat.tsv	Bone-Osteosarc	0
f87cdca1-2c85-49d2-e040-11ac0d485c9d.muat.tsv	Bone-Osteosarc	0
f87d7c27-eeef-920e-e040-11ac0d48388d.muat.tsv	Bone-Osteosarc	0
f87e94a9-ef37-fcba-e040-11ac0c482332.muat.tsv	Bone-Osteosarc	0
f87eb1b5-1712-ca1f-e040-11ac0c483848.muat.tsv	Bone-Osteosarc	0
f8809cee-8f81-28f8-e040-11ac0d4873bf.muat.tsv	Bone-Osteosarc	0
fc93e38d-6bd5-9912-e040-11ac0c4838cd.muat.tsv	Bone-Osteosarc	0
fc9469d0-4d0e-bb59-e040-11ac0d481e59.muat.tsv	Bone-Osteosarc	0
fc998aec-57dd-eab2-e040-11ac0d48680a.muat.tsv	Bone-Osteosarc	0
