prep_path	class_name	class_index
0554ffe5-31f7-43f5-8372-2b73c9cf3527.muat.tsv	Panc-AdenoCA	12
15895218-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
54319e3d-c28f-4ba1-9c87-299d303e4de3.muat.tsv	Prost-AdenoCA	14
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923.muat.tsv	Lymph-BNHL	8
880e6970-0131-4966-b13e-8614d33f0df7.muat.tsv	CNS-Medullo	2
6e776415-ddf4-4060-953f-08ef22441234.muat.tsv	Panc-Endocrine	13
ee8ba991-8c96-476e-b096-49f3aaaffc2f.muat.tsv	Panc-AdenoCA	12
4cbe411b-b05e-46bd-bea8-126289a0866c.muat.tsv	Panc-AdenoCA	12
654dba9f-cfe5-4121-97c7-868613cdef53.muat.tsv	Panc-AdenoCA	12
221d0290-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
9df57388-7de1-4c90-910e-ef63a246dff1.muat.tsv	Panc-AdenoCA	12
8b0c4c91-2d07-4a9b-97a1-d2bda003437e.muat.tsv	Liver-HCC	7
fc447d51-cdc2-a180-e040-11ac0c4846a4.muat.tsv	Breast-AdenoCA	1
f047cb85-8f88-45d5-83c3-0416c9f3fff7.muat.tsv	Lymph-BNHL	8
7cb71498-6ada-43c6-912b-bad4f93cf580.muat.tsv	Panc-AdenoCA	12
f8fb791c-08b4-b6e1-e040-11ac0d4868f3.muat.tsv	Myeloid-MPN	10
0624eb1d-3aff-4037-a3c5-fc363a9edd02.muat.tsv	CNS-Medullo	2
82b8cda8-fbff-455e-b0db-7ff6528bd6c8.muat.tsv	Lymph-BNHL	8
906f6f1e-569d-4ce2-9273-1f305782f77f.muat.tsv	CNS-Medullo	2
7ccee959-1e87-4a39-b6b3-840ddcb94995.muat.tsv	Panc-AdenoCA	12
ebc1a26b-9582-4756-acd5-b02d1152319d.muat.tsv	Lymph-CLL	9
96ba50eb-3c12-41ad-ac7b-d23b2001fe44.muat.tsv	Panc-AdenoCA	12
1d325d84-a3a0-4802-9842-76cb21cecb1c.muat.tsv	Kidney-RCC	6
4d121008-0987-4142-a2b8-7dac58f3110a.muat.tsv	CNS-Medullo	2
fc8130df-90ba-5d94-e040-11ac0d485e0c.muat.tsv	Breast-AdenoCA	1
681e2301-2057-40e4-ab63-934775d63faa.muat.tsv	Skin-Melanoma	15
f7702c0c-9636-4700-a8ae-7a58afd9fa71.muat.tsv	Panc-AdenoCA	12
71ef8379-03a0-4b81-92c9-1ba666fe4d7a.muat.tsv	Panc-AdenoCA	12
68956108-2606-4696-b038-462b6c432398.muat.tsv	CNS-Medullo	2
5255d645-d3d2-422e-8449-046cd21f4935.muat.tsv	Panc-AdenoCA	12
d884d070-6077-4155-9978-76aca7ba1e76.muat.tsv	CNS-PiloAstro	3
fc813235-5ed8-7695-e040-11ac0d485e3e.muat.tsv	Breast-AdenoCA	1
a5346247-3f30-470a-b4ab-732180786291.muat.tsv	Panc-AdenoCA	12
96abdbc8-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
7866dfb2-46b3-42b4-905b-12f80593d6bd.muat.tsv	Eso-AdenoCA	4
fb74cca4-ac9c-4be0-80e3-e71592f96aae.muat.tsv	Lymph-CLL	9
fc8130e0-a94d-d9d0-e040-11ac0c483262.muat.tsv	Breast-AdenoCA	1
7a4f6014-f7a2-459b-bc43-df164e73cbba.muat.tsv	Eso-AdenoCA	4
6dbac113-d4cf-4db5-97c9-50fa400bb47e.muat.tsv	Stomach-AdenoCA	16
8c4038b6-c02a-46db-9514-c13b88d9bf48.muat.tsv	Lymph-CLL	9
f9dc999f-6dde-448d-9cf1-2897ddcf7b0b.muat.tsv	Lymph-BNHL	8
6551ec26-4166-4d4f-bee2-444ea2466978.muat.tsv	CNS-Medullo	2
5fa88c3a-dbc1-43f2-82b2-e0592f35ce57.muat.tsv	CNS-Medullo	2
5187e77d-f412-4303-8049-11d1aa1a0235.muat.tsv	Panc-AdenoCA	12
3c2b1509-1eb9-4b79-9569-57810f291499.muat.tsv	Ovary-AdenoCA	11
fce8d8c6-f2a0-43a8-9a7a-b9c519a6686c.muat.tsv	Lymph-BNHL	8
b2190e26-1809-4aba-9f45-07c2edb3b4a4.muat.tsv	Lymph-BNHL	8
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe.muat.tsv	Panc-Endocrine	13
f845ebba-8c56-b559-e040-11ac0c4863d5.muat.tsv	Bone-Osteosarc	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3.muat.tsv	Prost-AdenoCA	14
8a9359de-b0ad-4a2d-a543-e3b982697db9.muat.tsv	Prost-AdenoCA	14
44e4f08a-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
3166f1ae-678d-42ae-9d44-d3d25d6860c7.muat.tsv	CNS-Medullo	2
f85397dc-e6e9-4f54-e040-11ac0d48706c.muat.tsv	Bone-Osteosarc	0
5bb37ffc-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
874f64e9-8a0d-4f88-92c4-7e831842b1d1.muat.tsv	Lymph-BNHL	8
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25.muat.tsv	Prost-AdenoCA	14
fab0be4b-c84a-45cd-a76f-44d9a8bf1846.muat.tsv	Eso-AdenoCA	4
f4ada7a2-c4ac-4f89-ada7-4645861002cb.muat.tsv	Panc-AdenoCA	12
da10f77f-4414-4125-b359-de596421cca6.muat.tsv	CNS-PiloAstro	3
9c27fedd-b1b3-4af0-9e9b-20271854db08.muat.tsv	Lymph-BNHL	8
3baecfba-6977-4374-8bc9-22240abad9b5.muat.tsv	CNS-PiloAstro	3
f9c4e06c-e8a6-613b-e040-11ac0d4828ba.muat.tsv	Prost-AdenoCA	14
f83fc777-5416-c3e9-e040-11ac0d482c8e.muat.tsv	Bone-Osteosarc	0
43bf37e0-3dbc-4360-818c-fc1356d77495.muat.tsv	CNS-PiloAstro	3
9258860c-a336-4075-996d-2ee0c18b281c.muat.tsv	Eso-AdenoCA	4
f866123a-9eb0-e856-e040-11ac0c48717e.muat.tsv	Bone-Osteosarc	0
324adcfa-3fba-45b9-99f0-9d41c0c54d79.muat.tsv	CNS-Medullo	2
958d4d1d-25e2-43f2-a18b-59b2c66f0c05.muat.tsv	Panc-Endocrine	13
55c82198-5be6-4cc5-b5b3-b707af234107.muat.tsv	Lymph-CLL	9
fc8130e3-023d-c7d4-e040-11ac0c483295.muat.tsv	Breast-AdenoCA	1
9ba2c970-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
fc8130e0-08dd-b996-e040-11ac0c48327b.muat.tsv	Breast-AdenoCA	1
f54d6b6f-3bc2-41dd-81d0-74cf9e1e90e9.muat.tsv	CNS-PiloAstro	3
f8e61a06-42fa-e42c-e040-11ac0d481b72.muat.tsv	Myeloid-MPN	10
c8f64a71-e545-4eb6-9da3-2d43ae0c2627.muat.tsv	Kidney-RCC	6
63fef3fe-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
14f41457-25c3-4979-8515-4f33322039a5.muat.tsv	CNS-Medullo	2
7981bbf3-dceb-4d89-900c-555967e97921.muat.tsv	Panc-AdenoCA	12
77c022d3-2f29-49d3-a1df-cc2e9407fd7f.muat.tsv	Eso-AdenoCA	4
74db46a8-a499-4951-af33-1d53b7d1c9b4.muat.tsv	Prost-AdenoCA	14
f91a9af2-7909-099e-e040-11ac0c484205.muat.tsv	Myeloid-MPN	10
7f7e007e-4b06-4328-b116-6dcdb2ad8181.muat.tsv	Lymph-CLL	9
56d4ea48-c623-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
b421b9ca-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
c9e7c629-7b57-4ede-b315-0cea8c97c48e.muat.tsv	Panc-AdenoCA	12
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf.muat.tsv	Lymph-BNHL	8
f064f762-c622-11e3-bf01-24c6515278c0.muat.tsv	Liver-HCC	7
90b3c237-29a4-48b3-90b3-9f2c0ccb5928.muat.tsv	Panc-AdenoCA	12
cd2a045b-fbde-49c6-8be6-c0e3ecee246f.muat.tsv	CNS-Medullo	2
d4c6061b-5019-4564-806d-4e75910a4690.muat.tsv	Kidney-RCC	6
561fd34c-7c7d-4df0-bbfc-3d31147ca562.muat.tsv	Skin-Melanoma	15
068f4f69-d2fe-4f25-912e-ca7d4623efb6.muat.tsv	Lymph-BNHL	8
db37739d-af50-4e63-9147-1a7d25630ac6.muat.tsv	Prost-AdenoCA	14
8404ef5b-7a64-47fe-98f9-3f63619d2d99.muat.tsv	CNS-Medullo	2
f8e61a02-8c9e-aaee-e040-11ac0d481b6a.muat.tsv	Myeloid-MPN	10
3933c60d-73d6-4f74-ae02-fd545fc1f092.muat.tsv	Panc-AdenoCA	12
9cdb1905-8b0f-48bd-ba37-11e7ac9646a0.muat.tsv	Prost-AdenoCA	14
fc447d56-0d53-e0c3-e040-11ac0c4846a8.muat.tsv	Breast-AdenoCA	1
f938b6f4-a457-c624-e040-11ac0c486fad.muat.tsv	Myeloid-MPN	10
fe96d91c-3686-4125-af71-b8703a011ad4.muat.tsv	Panc-AdenoCA	12
